image_name,source_url,category,file_path
"N55,N,33,F_1_0.jpg",Local File,spine,"dataset/spine/N55,N,33,F_1_0.jpg"
"N62,N,24,M_1_0.jpg",Local File,spine,"dataset/spine/N62,N,24,M_1_0.jpg"
"N130, Lt TAIS, F, 11 Yrs.jpg",Local File,spine,"dataset/spine/N130, Lt TAIS, F, 11 Yrs.jpg"
"N47,N,F,21_1_0.jpg",Local File,spine,"dataset/spine/N47,N,F,21_1_0.jpg"
"N55, Lt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N55, Lt TAIS, F, 15 Yrs.jpg"
"N19, Rt TL AIS, F, 23 yrs.jpg",Local File,spine,"dataset/spine/N19, Rt TL AIS, F, 23 yrs.jpg"
"N36, Rt TAIS, F, 12 yrs.jpg",Local File,spine,"dataset/spine/N36, Rt TAIS, F, 12 yrs.jpg"
"N142, Rt TL AIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N142, Rt TL AIS, F, 15 Yrs.jpg"
"N9,S,15,F_1_0.jpg",Local File,spine,"dataset/spine/N9,S,15,F_1_0.jpg"
"N28,S,16,F_1_0.jpg",Local File,spine,"dataset/spine/N28,S,16,F_1_0.jpg"
"N27,N,F,22_1_0.jpg",Local File,spine,"dataset/spine/N27,N,F,22_1_0.jpg"
"N15, Rt TAIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N15, Rt TAIS, F, 14 yrs.jpg"
"N125, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N125, Rt TAIS, F, 15 Yrs.jpg"
"N1,S,20,F_1_0.jpg",Local File,spine,"dataset/spine/N1,S,20,F_1_0.jpg"
"N143, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N143, Rt TAIS, F, 14 Yrs.jpg"
"N49, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N49, Rt TAIS, F, 14 Yrs.jpg"
"N54,N,35,F_1_0.jpg",Local File,spine,"dataset/spine/N54,N,35,F_1_0.jpg"
"N54, Rt TAIS, F, 12 Yrs.jpg",Local File,spine,"dataset/spine/N54, Rt TAIS, F, 12 Yrs.jpg"
"N147, Rt TL AIS, F, 17 Yrs.jpg",Local File,spine,"dataset/spine/N147, Rt TL AIS, F, 17 Yrs.jpg"
"N32, Rt TAIS, F, 13 yrs.jpg",Local File,spine,"dataset/spine/N32, Rt TAIS, F, 13 yrs.jpg"
"N36,N,M,.23_1_0.jpg",Local File,spine,"dataset/spine/N36,N,M,.23_1_0.jpg"
"N23,N,M,13_1_0.jpg",Local File,spine,"dataset/spine/N23,N,M,13_1_0.jpg"
"N25, Rt T and Lt L AIS, F, 22 yrs.jpg",Local File,spine,"dataset/spine/N25, Rt T and Lt L AIS, F, 22 yrs.jpg"
"N16,N,M,17_1_0.jpg",Local File,spine,"dataset/spine/N16,N,M,17_1_0.jpg"
"N127, Rt TAIS, F, 18 Yrs.jpg",Local File,spine,"dataset/spine/N127, Rt TAIS, F, 18 Yrs.jpg"
"N60, Rt TAIS, M, 18 Yrs.jpg",Local File,spine,"dataset/spine/N60, Rt TAIS, M, 18 Yrs.jpg"
"N6,N,17,M_1_0.jpg",Local File,spine,"dataset/spine/N6,N,17,M_1_0.jpg"
"N64,N,8,M_1_0.jpg",Local File,spine,"dataset/spine/N64,N,8,M_1_0.jpg"
"N11,S,21,F_1_1.jpg",Local File,spine,"dataset/spine/N11,S,21,F_1_1.jpg"
"N83, Rt TLAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N83, Rt TLAIS, F, 14 Yrs.jpg"
"N108, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N108, Rt TAIS, F, 14 Yrs.jpg"
"N79, Lt T and Rt L AIS, M, 15 Yrs.jpg",Local File,spine,"dataset/spine/N79, Lt T and Rt L AIS, M, 15 Yrs.jpg"
"N45,N,M,36_1_0.jpg",Local File,spine,"dataset/spine/N45,N,M,36_1_0.jpg"
"N44,N,M,8_1_0.jpg",Local File,spine,"dataset/spine/N44,N,M,8_1_0.jpg"
"N23,N,F,29_1_0.jpg",Local File,spine,"dataset/spine/N23,N,F,29_1_0.jpg"
"N61, Rt TAIS, F 16 Yrs.jpg",Local File,spine,"dataset/spine/N61, Rt TAIS, F 16 Yrs.jpg"
"N13,S,15,F_1_0.jpg",Local File,spine,"dataset/spine/N13,S,15,F_1_0.jpg"
"N59, Rt TAIS, F, 17 Yrs.jpg",Local File,spine,"dataset/spine/N59, Rt TAIS, F, 17 Yrs.jpg"
"N51, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N51, Rt TAIS, F, 14 Yrs.jpg"
"N65,N,10,F_1_0.jpg",Local File,spine,"dataset/spine/N65,N,10,F_1_0.jpg"
"N146, Rt TAIS, M, 16 Yrs.jpg",Local File,spine,"dataset/spine/N146, Rt TAIS, M, 16 Yrs.jpg"
"N44, Rt TAIS, F, 11 yrs.jpg",Local File,spine,"dataset/spine/N44, Rt TAIS, F, 11 yrs.jpg"
"N25,N,F,21_1_0.jpg",Local File,spine,"dataset/spine/N25,N,F,21_1_0.jpg"
"N10, Rt TAIS, M, 16 yrs.jpg",Local File,spine,"dataset/spine/N10, Rt TAIS, M, 16 yrs.jpg"
"N139, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N139, Rt TAIS, F, 14 Yrs.jpg"
"N11, Rt TL AIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N11, Rt TL AIS, F, 14 yrs.jpg"
"N77, Lt LAIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N77, Lt LAIS, F, 16 Yrs.jpg"
"N27, Lt LAIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N27, Lt LAIS, F, 14 yrs.jpg"
"N99, Rt TAIS, F, 17 Yrs.jpg",Local File,spine,"dataset/spine/N99, Rt TAIS, F, 17 Yrs.jpg"
"N26, Rt TAIS, F, 11 yrs.jpg",Local File,spine,"dataset/spine/N26, Rt TAIS, F, 11 yrs.jpg"
"N5, Rt TAIS, F, 13 yrs.jpg",Local File,spine,"dataset/spine/N5, Rt TAIS, F, 13 yrs.jpg"
"N42, Rt TAIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N42, Rt TAIS, F, 14 yrs.jpg"
"N15,S,14,M_1_0.jpg",Local File,spine,"dataset/spine/N15,S,14,M_1_0.jpg"
"N13, Rt T and Lt L AIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N13, Rt T and Lt L AIS, F, 14 Yrs.jpg"
"N3,S,14,F_1_0.jpg",Local File,spine,"dataset/spine/N3,S,14,F_1_0.jpg"
"N111, Rt TAIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N111, Rt TAIS, F, 13 Yrs.jpg"
"N21, Lt TL AIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N21, Lt TL AIS, F, 14 yrs.jpg"
"N24,N,M,12_1_0.jpg",Local File,spine,"dataset/spine/N24,N,M,12_1_0.jpg"
"N18,N,F,13_1_0.jpg",Local File,spine,"dataset/spine/N18,N,F,13_1_0.jpg"
"N35,N,F,5_1_0.jpg",Local File,spine,"dataset/spine/N35,N,F,5_1_0.jpg"
"N145, Rt TAIS, M, 14 Yrs.jpg",Local File,spine,"dataset/spine/N145, Rt TAIS, M, 14 Yrs.jpg"
"N67,N,5,M_1_0.jpg",Local File,spine,"dataset/spine/N67,N,5,M_1_0.jpg"
"N64, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N64, Rt TAIS, F, 15 Yrs.jpg"
"N115, Rt T and Lt L AIS, F, 10 Yrs.jpg",Local File,spine,"dataset/spine/N115, Rt T and Lt L AIS, F, 10 Yrs.jpg"
"N32,S,10,F_1_0.jpg",Local File,spine,"dataset/spine/N32,S,10,F_1_0.jpg"
"N100, Rt TAIS, F, 21 Yrs.jpg",Local File,spine,"dataset/spine/N100, Rt TAIS, F, 21 Yrs.jpg"
"N47, Rt TAIS, F, 13 yrs.jpg",Local File,spine,"dataset/spine/N47, Rt TAIS, F, 13 yrs.jpg"
"N21,S,16,F_1_0.jpg",Local File,spine,"dataset/spine/N21,S,16,F_1_0.jpg"
"N3, Lt TL AIS, F, 12 yrs.jpg",Local File,spine,"dataset/spine/N3, Lt TL AIS, F, 12 yrs.jpg"
"N14,S,17,M_1_0.jpg",Local File,spine,"dataset/spine/N14,S,17,M_1_0.jpg"
"N31,N,F,12 KA00594212_1_0.jpg",Local File,spine,"dataset/spine/N31,N,F,12 KA00594212_1_0.jpg"
"N12, Lt TAIS, F, 12 yrs.jpg",Local File,spine,"dataset/spine/N12, Lt TAIS, F, 12 yrs.jpg"
"N33, Rt TAIS, F, 11 yrs.jpg",Local File,spine,"dataset/spine/N33, Rt TAIS, F, 11 yrs.jpg"
"N18, Rt TAIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N18, Rt TAIS, F, 14 yrs.jpg"
"N101, Rt TAIS, F, 15  Yrs.jpg",Local File,spine,"dataset/spine/N101, Rt TAIS, F, 15  Yrs.jpg"
"N52,N,47,F_1_0.jpg",Local File,spine,"dataset/spine/N52,N,47,F_1_0.jpg"
"N69, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N69, Rt TAIS, F, 14 Yrs.jpg"
"N39, Rt TAIS, F, 16 Yrs.JPG",Local File,spine,"dataset/spine/N39, Rt TAIS, F, 16 Yrs.JPG"
"N53,N,36,F_1_0.jpg",Local File,spine,"dataset/spine/N53,N,36,F_1_0.jpg"
"N72, Rt TAIS, F, 17 Yrs.jpg",Local File,spine,"dataset/spine/N72, Rt TAIS, F, 17 Yrs.jpg"
"N2,N,F,17_1_0.jpg",Local File,spine,"dataset/spine/N2,N,F,17_1_0.jpg"
"N119, Rt AIS, M, 18 Yrs.jpg",Local File,spine,"dataset/spine/N119, Rt AIS, M, 18 Yrs.jpg"
"N148, Rt TAIS, F, 11 Yrs.JPG",Local File,spine,"dataset/spine/N148, Rt TAIS, F, 11 Yrs.JPG"
"N113, Rt TL AIS, M, 15 Yrs.jpg",Local File,spine,"dataset/spine/N113, Rt TL AIS, M, 15 Yrs.jpg"
"N126, Rt TAIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N126, Rt TAIS, F, 13 Yrs.jpg"
"N13,N,F,15_1_0.jpg",Local File,spine,"dataset/spine/N13,N,F,15_1_0.jpg"
"N91, Rt TAIS, M, 15 Yrs.jpg",Local File,spine,"dataset/spine/N91, Rt TAIS, M, 15 Yrs.jpg"
"N7,N,M,8_1_0.jpg",Local File,spine,"dataset/spine/N7,N,M,8_1_0.jpg"
"N2,S,5,F_1_0.jpg",Local File,spine,"dataset/spine/N2,S,5,F_1_0.jpg"
"N92, Lt LIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N92, Lt LIS, F, 16 Yrs.jpg"
"N112, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N112, Rt TAIS, F, 14 Yrs.jpg"
"N2,N,18,M_1_0.jpg",Local File,spine,"dataset/spine/N2,N,18,M_1_0.jpg"
"N124, Rt T and Lt L AIS, M, 20 Yrs.jpg",Local File,spine,"dataset/spine/N124, Rt T and Lt L AIS, M, 20 Yrs.jpg"
"N98, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N98, Rt TAIS, F, 14 Yrs.jpg"
"N41, Rt TAIS, F, 13 yrs.jpg",Local File,spine,"dataset/spine/N41, Rt TAIS, F, 13 yrs.jpg"
"N68, Rt TAIS, F, 12 yrs.jpg",Local File,spine,"dataset/spine/N68, Rt TAIS, F, 12 yrs.jpg"
"N5,N,F,31_1_0.jpg",Local File,spine,"dataset/spine/N5,N,F,31_1_0.jpg"
"N95,Rt TAIS, M, 15 Yrs.jpg",Local File,spine,"dataset/spine/N95,Rt TAIS, M, 15 Yrs.jpg"
"N12,N,F,14_1_0.jpg",Local File,spine,"dataset/spine/N12,N,F,14_1_0.jpg"
"N34,N,M,23_1_0.jpg",Local File,spine,"dataset/spine/N34,N,M,23_1_0.jpg"
"N87, Rt TAIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N87, Rt TAIS, F, 16 Yrs.jpg"
"N40,N,F,25_1_0.jpg",Local File,spine,"dataset/spine/N40,N,F,25_1_0.jpg"
"N105, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N105, Rt TAIS, F, 14 Yrs.jpg"
"N37, Lt TL AIS, F, 20 yrs.jpg",Local File,spine,"dataset/spine/N37, Lt TL AIS, F, 20 yrs.jpg"
"N26,S,15,F_1_0.jpg",Local File,spine,"dataset/spine/N26,S,15,F_1_0.jpg"
"N29,S,12,M_1_0.jpg",Local File,spine,"dataset/spine/N29,S,12,M_1_0.jpg"
"N35,S,13,F_1_0.jpg",Local File,spine,"dataset/spine/N35,S,13,F_1_0.jpg"
"N13, Rt T and Lt L AIS, M, 14 Yrs.jpg",Local File,spine,"dataset/spine/N13, Rt T and Lt L AIS, M, 14 Yrs.jpg"
"N35, Rt TAIS, F, 15 yrs.jpg",Local File,spine,"dataset/spine/N35, Rt TAIS, F, 15 yrs.jpg"
"N46, Rt TAIS, F, 11 yrs.jpg",Local File,spine,"dataset/spine/N46, Rt TAIS, F, 11 yrs.jpg"
"N38,S,14,F_1_0.jpg",Local File,spine,"dataset/spine/N38,S,14,F_1_0.jpg"
"N28, Rt TAIS, F, 13 yrs.jpg",Local File,spine,"dataset/spine/N28, Rt TAIS, F, 13 yrs.jpg"
"N7,N,14,M_1_0.jpg",Local File,spine,"dataset/spine/N7,N,14,M_1_0.jpg"
"N106, Rt TAIS, M, 12 Yrs.jpg",Local File,spine,"dataset/spine/N106, Rt TAIS, M, 12 Yrs.jpg"
"N114, Lt LAIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N114, Lt LAIS, F, 13 Yrs.jpg"
"N85, Rt TAIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N85, Rt TAIS, F, 13 Yrs.jpg"
"N6,N,F,15_1_0.jpg",Local File,spine,"dataset/spine/N6,N,F,15_1_0.jpg"
"N10,S,17,F_1_0.jpg",Local File,spine,"dataset/spine/N10,S,17,F_1_0.jpg"
"N117, Rt TAIS, F, 12 Yrs.jpg",Local File,spine,"dataset/spine/N117, Rt TAIS, F, 12 Yrs.jpg"
"N132, Rt TAIS, M, 15 Yrs.jpg",Local File,spine,"dataset/spine/N132, Rt TAIS, M, 15 Yrs.jpg"
"N97, Lt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N97, Lt TAIS, F, 14 Yrs.jpg"
"N19,S,5,F_1_1.jpg",Local File,spine,"dataset/spine/N19,S,5,F_1_1.jpg"
"N43, Rt TAIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N43, Rt TAIS, F, 16 Yrs.jpg"
"N141, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N141, Rt TAIS, F, 15 Yrs.jpg"
"N4,N,18,M_1_0.jpg",Local File,spine,"dataset/spine/N4,N,18,M_1_0.jpg"
"N81, Rt TAIS, F, 12 Yrs.jpg",Local File,spine,"dataset/spine/N81, Rt TAIS, F, 12 Yrs.jpg"
"n61,N,33,F_1_0.jpg",Local File,spine,"dataset/spine/n61,N,33,F_1_0.jpg"
"N24, Lt TL AIS, F, 24 yrs.jpg",Local File,spine,"dataset/spine/N24, Lt TL AIS, F, 24 yrs.jpg"
"N67,N,21,F_1_0.jpg",Local File,spine,"dataset/spine/N67,N,21,F_1_0.jpg"
"N58, Lt TL AIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N58, Lt TL AIS, F, 14 Yrs.jpg"
"N63, Rt TAIS, F, 12 Yrs.jpg",Local File,spine,"dataset/spine/N63, Rt TAIS, F, 12 Yrs.jpg"
"N135, Lt T and Rt L AIS, F, 18 Yrs.jpg",Local File,spine,"dataset/spine/N135, Lt T and Rt L AIS, F, 18 Yrs.jpg"
"N18,S,F,12_1_0.jpg",Local File,spine,"dataset/spine/N18,S,F,12_1_0.jpg"
"N26,N,F,26_1_0.jpg",Local File,spine,"dataset/spine/N26,N,F,26_1_0.jpg"
"N123, Rt TL AIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N123, Rt TL AIS, F, 16 Yrs.jpg"
"N121, Lt TAIS, F, 18.jpg",Local File,spine,"dataset/spine/N121, Lt TAIS, F, 18.jpg"
"N57, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N57, Rt TAIS, F, 15 Yrs.jpg"
"N128, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N128, Rt TAIS, F, 14 Yrs.jpg"
"N93, Rt TL AIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N93, Rt TL AIS, F, 14 Yrs.jpg"
"N9, Rt TAIS, F 13 yrs.jpg",Local File,spine,"dataset/spine/N9, Rt TAIS, F 13 yrs.jpg"
"N82, Rt TAIS, F, 12 Yrs.jpg",Local File,spine,"dataset/spine/N82, Rt TAIS, F, 12 Yrs.jpg"
"N22, Lt TL AIS, F, 14 yrs.jpg",Local File,spine,"dataset/spine/N22, Lt TL AIS, F, 14 yrs.jpg"
"N1,N,F,21_1_0.jpg",Local File,spine,"dataset/spine/N1,N,F,21_1_0.jpg"
"N67, Rt TAIS, F, 11 Yrs.jpg",Local File,spine,"dataset/spine/N67, Rt TAIS, F, 11 Yrs.jpg"
"N36,S,15,F_1_0.jpg",Local File,spine,"dataset/spine/N36,S,15,F_1_0.jpg"
"N7, Rt TAIS, F, 18 yrs.JPG",Local File,spine,"dataset/spine/N7, Rt TAIS, F, 18 yrs.JPG"
"N59,N,34M,F_1_0.jpg",Local File,spine,"dataset/spine/N59,N,34M,F_1_0.jpg"
"N39,S,18,F_1_0.jpg",Local File,spine,"dataset/spine/N39,S,18,F_1_0.jpg"
"N31, Lt LAIS, F, 15 yrs.jpg",Local File,spine,"dataset/spine/N31, Lt LAIS, F, 15 yrs.jpg"
"N57,N,22,F_1_2.jpg",Local File,spine,"dataset/spine/N57,N,22,F_1_2.jpg"
"N8, Rt TAIS, M, 15 yrs.jpg",Local File,spine,"dataset/spine/N8, Rt TAIS, M, 15 yrs.jpg"
"N62, Rt TAIS, F, 16 Yrs.jpg",Local File,spine,"dataset/spine/N62, Rt TAIS, F, 16 Yrs.jpg"
"N90, Rt TAIS, F, 14 Yrs.jpg",Local File,spine,"dataset/spine/N90, Rt TAIS, F, 14 Yrs.jpg"
"N37,N,M,15_1_0.jpg",Local File,spine,"dataset/spine/N37,N,M,15_1_0.jpg"
"N19,N,M,19_1_0.jpg",Local File,spine,"dataset/spine/N19,N,M,19_1_0.jpg"
"N12,N,M,13_1_0.jpg",Local File,spine,"dataset/spine/N12,N,M,13_1_0.jpg"
"N34, Rt TAIS, M, 15 yrs.jpg",Local File,spine,"dataset/spine/N34, Rt TAIS, M, 15 yrs.jpg"
"N120, Rt T and Lt L AIS, F, 15 yrs.jpg",Local File,spine,"dataset/spine/N120, Rt T and Lt L AIS, F, 15 yrs.jpg"
"N33,S,15,M_1_0.jpg",Local File,spine,"dataset/spine/N33,S,15,M_1_0.jpg"
"N80, Lt TAIS, M, 13 Yrs.jpg",Local File,spine,"dataset/spine/N80, Lt TAIS, M, 13 Yrs.jpg"
"N27,S,35,F_1_0.jpg",Local File,spine,"dataset/spine/N27,S,35,F_1_0.jpg"
"N18,N,M,11_1_0.jpg",Local File,spine,"dataset/spine/N18,N,M,11_1_0.jpg"
"N94, Rt TAIS, F, 15 Yrs.jpg",Local File,spine,"dataset/spine/N94, Rt TAIS, F, 15 Yrs.jpg"
"N38,N,F,11_1_0.jpg",Local File,spine,"dataset/spine/N38,N,F,11_1_0.jpg"
"N5,S,16,F_1_0.jpg",Local File,spine,"dataset/spine/N5,S,16,F_1_0.jpg"
"N17,S,F.17_1_0.jpg",Local File,spine,"dataset/spine/N17,S,F.17_1_0.jpg"
"N25,S,14,M_1_0.jpg",Local File,spine,"dataset/spine/N25,S,14,M_1_0.jpg"
"N40,S,20,F_1_0.jpg",Local File,spine,"dataset/spine/N40,S,20,F_1_0.jpg"
"N110, Rt TAIS, M, 17 Yrs.jpg",Local File,spine,"dataset/spine/N110, Rt TAIS, M, 17 Yrs.jpg"
"N86, Rt TAIS, F, 13 Yrs.jpg",Local File,spine,"dataset/spine/N86, Rt TAIS, F, 13 Yrs.jpg"
"N34,S,12,F_1_0.jpg",Local File,spine,"dataset/spine/N34,S,12,F_1_0.jpg"
"N2, Lt T and Rt L AIS, M, 17 yrs.jpg",Local File,spine,"dataset/spine/N2, Lt T and Rt L AIS, M, 17 yrs.jpg"
"N131, Rt TAIS, M, 15 Yrs.jpg",Local File,spine,"dataset/spine/N131, Rt TAIS, M, 15 Yrs.jpg"
"N5,N,14,M_1_0.jpg",Local File,spine,"dataset/spine/N5,N,14,M_1_0.jpg"
